"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Hell or High Water","7.6","David Mackenzie","Taylor Sheridan","88","Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham, Dale Dickey, William Sterchi, Buck Taylor, Kristin K. Berg, Keith Meriweather, Jackamoe Buzzell, Katy Mixon Greer, Amber Midthunder, Joe Berryman, Taylor Sheridan, Howard Ferguson Jr., Debrianna Mansini, Paul Howard Smith, Nathaniel Augustson","2017-08-20","United States","English","12000000","37999675","1 hour 42 minutes","India"
"Sound of Freedom","7.6","Alejandro Monteverde","Rod Barr, Alejandro Monteverde","36","Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio, Javier Godino, Lucás Ávila, Yessica Borroto Perryman, Manny Perez, Eduardo Verástegui, Samuel Livingston, Gustavo Sánchez Parra, Kris Avedisian, José Zúñiga, Carlos Gutiérrez, Hector Lucumi, Mauricio Cujar, Gary Basaraba, Gerardo Taracena","2023-07-04","Mexico, United States","English, Spanish","14600000","250570396","2 hours 11 minutes","United States"
"The Butterfly Effect","7.6","Eric Bress, J. Mackye Gruber","J. Mackye Gruber, Eric Bress","30","Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson, William Lee Scott, John Patrick Amedori, Irina Gorovaia, Kevin G. Schmidt, Jesse James, Logan Lerman, Sarah Widdows, Jake Kaese, Cameron Bright, Eric Stoltz, Callum Keith Rennie, Lorena Gale, Nathaniel DeVeaux, John Tierney","2004-04-23","United States, Canada","English","13000000","96822421","1 hour 53 minutes","India"
"Falling Down","7.6","Joel Schumacher","Ebbe Roe Smith","56","Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Tuesday Weld, Frederic Forrest, Lois Smith, Joey Singer, Ebbe Roe Smith, Michael Paul Chan, Raymond J. Barry, D.W. Moffett, Steve Park, Kimberly Scott, James Keane, Macon McCalman, Richard Montoya, Bruce Beatty","1993-02-26","France, United States","English, Spanish, Korean","25000000","40903593","1 hour 53 minutes","United States"
"The Florida Project","7.6","Sean Baker","Sean Baker, Chris Bergoch","92","Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Aiden Malik, Josie Olivo, Valeria Cotto, Edward Pagan, Patti Wiley, Jasineia Ramos, Rosa Medina Perez, Mela Murder, Krystal Nicole Watts, Bronwyn Valley, Kelly Fitzgerald, Sandy Kane, Jim R. Coleman, Andrew Romano","2017-11-10","United States","English, Spanish, Portuguese","2000000","10954677","1 hour 51 minutes","United Kingdom"
"Fury","7.6","David Ayer","David Ayer","64","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña, Jon Bernthal, Jim Parrack, Brad William Henke, Kevin Vance, Xavier Samuel, Jason Isaacs, Anamaria Marinca, Alicia von Rittberg, Scott Eastwood, Laurence Spellman, Daniel Betts, Adam Ganne, Eric Kofi Abrefa, Osi Okerafor","2014-10-31","United States, China","English, German","68000000","211822697","2 hours 14 minutes","India"
"Scott Pilgrim vs. The World","7.6","Edgar Wright","Michael Bacall, Edgar Wright, Bryan Lee O'Malley","69","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick, Alison Pill, Aubrey Plaza, Jason Schwartzman, Johnny Simmons, Mark Webber, Ellen Wong, Satya Bhabha, Will Bowes, Celine Lepage, Keita Saitou, Mark LeRoy, Kjartan Hewitt, Ben Lewis, Nelson Franklin","2019-01-17","United States, United Kingdom, Canada, Japan","English","60000000","51691156","1 hour 52 minutes","India"
"Office Space","7.6","Mike Judge","Mike Judge","68","Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu, Diedrich Bader, Stephen Root, Gary Cole, Richard Riehle, Alexandra Wentworth, Joe Bays, John C. McGinley, Paul Willson, Kinna McInroe, Todd Duffey, Greg Pitts, Michael McShane, Linda Wakeman, Jennifer Jane Emerson","1999-02-19","United States","English","10000000","10829894","1 hour 29 minutes","United States"
"The Last of the Mohicans","7.6","Michael Mann","James Fenimore Cooper, John L. Balderston, Paul Perez","76","Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig, Jodhi May, Steven Waddington, Wes Studi, Maurice Roëves, Patrice Chéreau, Edward Blatchford, Terry Kinney, Tracey Ellis, Justin M. Rice, Dennis Banks, Pete Postlethwaite, Colm Meaney, Mac Andrews, Malcolm Storry","1992-09-25","United States","English, French, North American Indian","40000000","75506530","1 hour 52 minutes","United States"
"My Cousin Vinny","7.6","Jonathan Lynn","Dale Launer","68","Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield, Fred Gwynne, Lane Smith, Austin Pendleton, Bruce McGill, Maury Chaykin, Paulene Myers, Raynor Scheine, James Rebhorn, Chris Ellis, Michael Simpson, Lou Walker, Kenny Jones, Thomas Merdis, J. Don Ferguson","1992-03-13","United States","English","11000000","64088552","2 hours","United States"
"Moneyball","7.6","Bennett Miller","Steven Zaillian, Aaron Sorkin, Stan Chervin","87","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman, Chris Pratt, Stephen Bishop, Reed Diamond, Brent Jennings, Ken Medlock, Tammy Blanchard, Jack McGee, Vyto Ruginis, Nick Searcy, Glenn Morshower, Casey Bond, Nick Porrazzo, Kerris Dorsey, Arliss Howard","2012-02-24","United States","English","50000000","110206216","2 hours 13 minutes","India"
"Saw","7.6","James Wan","Leigh Whannell, James Wan","46","Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung, Dina Meyer, Mike Butters, Paul Gutrecht, Michael Emerson, Benito Martinez, Shawnee Smith, Makenzie Vega, Monica Potter, Ned Bellamy, Alexandra Bokyun Chun, Avner Garbi, Tobin Bell, Oren Koules, Hans Raith","2021-12-21","United States","English","1200000","104004218","1 hour 43 minutes","India"
"Kick-Ass","7.6","Matthew Vaughn","Jane Goldman, Matthew Vaughn, Mark Millar","66","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown, Clark Duke, Evan Peters, Deborah Twiss, Lyndsy Fonseca, Sophie Wu, Elizabeth McGovern, Christopher Mintz-Plasse, Stu 'Large' Riley, Johnny Hopkins, Ohene Cornelius, Mark Strong, Michael Rispoli, Corey Johnson, Kenneth Simmons","2017-10-05","United Kingdom, United States","English","30000000","96188903","1 hour 57 minutes","India"
"Stardust","7.6","Matthew Vaughn","Jane Goldman, Matthew Vaughn, Neil Gaiman","66","Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen, Bimbo Hart, Alastair MacIntosh, David Kelly, Ben Barnes, Kate Magowan, Melanie Hill, Henry Cavill, Nathaniel Parker, Darby Hawker, Frank Ellis, Peter O'Toole, Mark Strong, Jason Flemyng, Mark Heap","2013-02-11","United Kingdom, United States, Iceland","English","70000000","137515140","2 hours 7 minutes","India"
"Midnight in Paris","7.6","Woody Allen","Woody Allen","81","Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller, Mimi Kennedy, Michael Sheen, Nina Arianda, Carla Bruni, Maurice Sonnenberg, Thierry Hancisse, Guillaume Gouix, Audrey Fleurot, Marie-Sohna Condé, Yves Heck, Alison Pill, Tom Hiddleston, Sonia Rolland, Corey Stoll","2011-05-11","Spain, United States, France","English, French, Spanish, German","17000000","151672318","1 hour 34 minutes","France"
"3:10 to Yuma","7.6","James Mangold","Halsted Welles, Michael Brandt, Derek Haas","76","Russell Crowe, Christian Bale, Ben Foster, Logan Lerman, Dallas Roberts, Peter Fonda, Vinessa Shaw, Alan Tudyk, Luce Rains, Gretchen Mol, Lennie Loftin, Rio Alexander, Johnny Whitworth, Shawn Howell, Pat Ricotti, Ramon Frank, Deryle J. Lujan, James 'Scotty' Augare","2007-09-07","United States","English, Chinese","55000000","70016220","2 hours 2 minutes","United States"
"Minority Report","7.6","Steven Spielberg","Scott Frank, Jon Cohen, Philip K. Dick","80","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow, Steve Harris, Neal McDonough, Patrick Kilpatrick, Jessica Capshaw, Richard Coca, Keith Campbell, Kirk B.R. Woller, Klea Scott, Frank Grillo, Anna Maria Horsford, Sarah Simmons, Eugene Osment, James Henderson, Vene L. Arcoraci","2002-08-02","United States","English, Swedish","102000000","358372926","2 hours 25 minutes","India"
"Star Wars: Episode III - Revenge of the Sith","7.6","George Lucas","George Lucas","68","Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson, Ian McDiarmid, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison, David Bowers, Oliver Ford Davies, Ahmed Best","2005-05-20","United States, Italy, Switzerland, Thailand, United Kingdom","English","113000000","850035635","2 hours 20 minutes","India"
"The Fly","7.6","David Cronenberg","George Langelaan, Charles Edward Pogue, David Cronenberg","81","Jeff Goldblum, Geena Davis, John Getz, Joy Boushel, Leslie Carlson, George Chuvalo, Michael Copeman, David Cronenberg, Carol Lazare, Shawn Hewitt, Ann Green, Typhoon","1987-11-03","United States, Canada","English","15000000","60629159","1 hour 36 minutes","India"
"Sherlock Holmes","7.6","Guy Ritchie","Michael Robert Johnson, Anthony Peckham, Simon Kinberg","57","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, Hans Matheson, James Fox, William Hope, Clive Russell, Oran Gurel, David Garrick, Ky Discala, Andrew Brooke, Tom Watt","2010-01-08","United States, Germany","English, French","90000000","524028679","2 hours 8 minutes","India"
"What We Do in the Shadows","7.6","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi","76","Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh, Stu Rutherford, Ben Fransham, Jackie van Beek, Elena Stejko, Jason Hoyte, Karen O'Leary, Mike Minogue, Chelsie Preston Crayford, Ian Harcourt, Ethel Robinson, Brad Harding, Isaac Heron, Yvette Parsons, Madeleine Sami","2014-06-19","New Zealand, United States","English, German, Spanish, Latin","1600000","7450669","1 hour 26 minutes","New Zealand"
"Kung Fu Panda","7.6","Mark Osborne, John Stevenson","Jonathan Aibel, Glenn Berger, Ethan Reiff","74","Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, Dan Fogler, Michael Clarke Duncan, Wayne Knight, Kyle Gass, JR Reed, Laura Kightlinger, Tanya Haden, Stephen Kearin","2008-07-11","United States","English","130000000","632091832","1 hour 32 minutes","India"
"Die Hard with a Vengeance","7.6","John McTiernan","Jonathan Hensleigh, Roderick Thorp","58","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, Colleen Camp, Larry Bryggman, Anthony Peck, Nick Wyman, Sam Phillips, Kevin Chamberlin, Sharon Washington, Stephen Pearlman, Michael Alexander Jackson, Aldis Hodge, Mischa Hausserman, Edwin Hodge, Robert Sedgwick, Tony Halme","1995-05-19","United States","English, German, Romanian","90000000","366101666","2 hours 8 minutes","United States"
"La Piel Que Habito","7.6","Pedro Almodóvar","Pedro Almodóvar, Agustín Almodóvar, Thierry Jonquet","70","Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes, Roberto Álamo, Eduard Fernández, José Luis Gómez, Blanca Suárez, Susi Sánchez, Bárbara Lennie, Fernando Cayo, Chema Ruiz, Buika, Ana Mena, Teresa Manresa, Fernando Iglesias, Agustín Almodóvar, Miguel Almodóvar","2011-09-02","Spain, United States","Spanish","10002914","33716389","2 hours","Spain"
"Moulin Rouge!","7.6","Baz Luhrmann","Baz Luhrmann, Craig Pearce","66","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, Richard Roxburgh, Garry McDonald, Jacek Koman, Matthew Whittet, Kerry Walker, Caroline O'Connor, Christine Anu, Natalie Mendoza, Lara Mulcahy, David Wenham, Kylie Minogue, Ozzy Osbourne, Deobia Oparei, Linal Haft","2001-06-29","Australia, United States","English, French, Spanish","50000000","184935252","2 hours 7 minutes","India"
"The Others","7.6","Alejandro Amenábar","Alejandro Amenábar","74","Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann, James Bentley, Eric Sykes, Elaine Cassidy, Renée Asherson, Gordon Reid, Keith Allen, Michelle Fairley, Alexander Vince, Ricardo López, Aldo Grilo","2020-12-30","Spain, France, United States","English","17000000","210002906","1 hour 41 minutes","India"
"A Star Is Born","7.6","Bradley Cooper","Eric Roth, Bradley Cooper, Will Fetters","88","Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg, Andrew Dice Clay, Rafi Gavron, Anthony Ramos, Dave Chappelle, Alec Baldwin, Marlon Williams, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field, Derek Kevin Jones, Willam Belli","2018-10-12","United States","English, French","36000000","436433122","2 hours 16 minutes","India"
"The Peanut Butter Falcon","7.6","Tyler Nilson, Michael Schwartz","Tyler Nilson, Michael Schwartz","70","Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern, Shia LaBeouf, Thomas Haden Church, Rob Thomas, Jon Bernthal, Tim Zajaros, John Hawkes, Yelawolf, Jonathan D. Williams, Deja Dee, Lee Spencer, Mark Helms, Michael Berthold, Bruce Henderson, Wayne Dehart","2020-08-06","United States","English","6200000","23712097","1 hour 37 minutes","India"
"The Thin Red Line","7.6","Terrence Malick","James Jones, Terrence Malick","78","Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo, Penelope Allen, Benjamin Green, Simon Billig, Mark Boone Junior, Adrien Brody, Norman Patrick Brown, Ben Chaplin, George Clooney, John Cusack, Jarrod Dean, Matt Doran, Travis Fine, Paul Gleeson, Woody Harrelson","1999-01-15","United States","English, Tok Pisin, Japanese, Greek","52000000","98126565","2 hours 50 minutes","United States"
"I Am Sam","7.6","Jessie Nelson","Kristine Johnson, Jessie Nelson","28","Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine, Richard Schiff, Laura Dern, Brad Silverman, Joseph Rosenberg, Stanley DeSantis, Doug Hutchison, Rosalind Chao, Ken Jenkins, Wendy Phillips, Mason Lucero, Scott Paulin, Bobby Cooper, Kit McDonough","2002-01-25","United States","English","22000000","97818302","2 hours 12 minutes","India"
"RoboCop","7.6","Paul Verhoeven","Edward Neumeier, Michael Miner","70","Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith, Miguel Ferrer, Robert DoQui, Ray Wise, Felton Perry, Paul McCrane, Jesse D. Goins, Del Zamora, Calvin Jung, Rick Lieberman, Lee de Broux, Mark Carlton, Edward Edwards, Michael Gregory","1988-09-30","United States","English","13000000","53429250","1 hour 42 minutes","India"
"Gone Baby Gone","7.6","Ben Affleck","Ben Affleck, Aaron Stockard, Dennis Lehane","72","Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan, John Ashton, Amy Ryan, Amy Madigan, Titus Welliver, Michael Kenneth Williams, Edi Gathegi, Mark Margolis, Madeline O'Brien, George Carroll, Trudi Goodman, Matthew Maher, Jill Quigg, Sean Malone, Brian Scannell","2007-10-19","United States","English","19000000","34612443","1 hour 54 minutes","United States"
"True Grit","7.6","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Charles Portis","80","Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin, Barry Pepper, Dakin Matthews, Jarlath Conroy, Paul Rae, Domhnall Gleeson, Elizabeth Marvel, Roy Lee Jones, Ed Corbin, Leon Russom, Bruce Green, Candyce Hinkle, Peter Leung, Don Pirl, Joe Stevens","2011-02-25","United States","English","38000000","252278285","1 hour 50 minutes","India"
"Despicable Me","7.6","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","72","Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Pierre Coffin, Chris Renaud, Jemaine Clement, Jack McBrayer, Danny McBride, Mindy Kaling, Rob Huebel, Ken Daurio, Ken Jeong","2010-08-06","United States, France","English","69000000","544174973","1 hour 35 minutes","India"
"Thelma & Louise","7.6","Ridley Scott","Callie Khouri","89","Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen, Christopher McDonald, Stephen Tobolowsky, Brad Pitt, Timothy Carhart, Lucinda Jenney, Jason Beghe, Sonny Carl Davis, Shelly Desai, Ken Swofford, Carol Mansell, Stephen Polk, Rob Roy Fitzgerald, Jack Lindine, Michael Doman","1991-05-24","United States, United Kingdom, France","English","16500000","45472705","2 hours 10 minutes","United States"
"Inside Man","7.6","Spike Lee","Russell Gewirtz","76","Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, Willem Dafoe, Chiwetel Ejiofor, Carlos Andrés Gómez, Kim Director, James Ransone, Bernie Rachelle, Peter Gerety, Victor Colicchio, Cassandra Freeman, Peter Frechette, Gerry Vichi, Waris Ahluwalia, Rafael Osorio, Bear","2013-07-03","United States","English, Albanian, Spanish, Polish","45000000","186003591","2 hours 9 minutes","India"
"The Little Mermaid","7.6","Ron Clements, John Musker","John Musker, Ron Clements, Hans Christian Andersen","88","Jodi Benson, Samuel E. Wright, Rene Auberjonois, Christopher Daniel Barnes, Pat Carroll, Paddi Edwards, Buddy Hackett, Jason Marin, Kenneth Mars, Edie McClurg, Will Ryan, Ben Wright, Hamilton Camp, Debbie Shapiro Gravitte, Robert Weil, Ed Gilbert, Charlie Adler, Jack Angel","1989-11-17","United States","English, French","40000000","211343479","1 hour 23 minutes","United States"
"Guardians of the Galaxy Vol. 2","7.6","James Gunn","James Gunn, Dan Abnett, Andy Lanning","67","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Sylvester Stallone, Kurt Russell, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Tommy Flanagan, Laura Haddock, Aaron Schwartz, Hannah Harlow, Hilty Bowen","2017-05-05","United States","English","200000000","863756903","2 hours 16 minutes","India"
"Dark City","7.6","Alex Proyas","Alex Proyas, Lem Dobbs, David S. Goyer","66","Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt, Richard O'Brien, Ian Richardson, Bruce Spence, Colin Friels, John Bluthal, Mitchell Butel, Melissa George, Frank Gallacher, Ritchie Singer, Justin Monjo, Nicholas Bell, Satya Gumbert, Noah Gumbert, Frederick Miragliotta","1998-02-27","Australia, United States","English","27000000","27201335","1 hour 40 minutes","United States"
"The Commitments","7.6","Alan Parker","Roddy Doyle, Dick Clement, Ian La Frenais","73","Robert Arkins, Michael Aherne, Angeline Ball, Maria Doyle Kennedy, Dave Finnegan, Bronagh Gallagher, Félim Gormley, Glen Hansard, Dick Massey, Johnny Murphy, Ken McCluskey, Andrew Strong, Colm Meaney, Anne Kent, Andrea Corr, Gerard Cassoni, Ruth Fairclough, Lindsay Fairclough","1991-09-13","Ireland, United Kingdom, United States","English, Irish Gaelic","12000000","14919633","1 hour 58 minutes","United States"
"Bridge of Spies","7.6","Steven Spielberg","Matt Charman, Ethan Coen, Joel Coen","81","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera, Brian Hutchison, Joshua Harto, Henny Russell, Rebekah Brockman, John Rue, Billy Magnussen, Jillian Lebling, Noah Schnapp, Eve Hewson, Joel Brady, Austin Stowell","2015-10-16","United States, India, Germany","English, German, Russian","40000000","165478348","2 hours 22 minutes","India"
"The Naked Gun: From the Files of Police Squad!","7.6","David Zucker","Jerry Zucker, Jim Abrahams, David Zucker","76","Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban, George Kennedy, Susan Beaubian, Nancy Marchand, Raye Birk, Jeannette Charles, Ed Williams, Tiny Ron, 'Weird Al' Yankovic, Leslie Maier, Winifred Freedman, Joe Grifasi, Tony Brafa, Lorali Hart, Nicholas Worth","1988-12-02","United States","English","12000000","78756177","1 hour 25 minutes","United States"
"The Birds","7.6","Alfred Hitchcock","Daphne Du Maurier, Evan Hunter, Jeanne Saintenoy","90","Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette, Veronica Cartwright, Ethel Griffies, Charles McGraw, Ruth McDevitt, Lonny Chapman, Joe Mantell, Doodles Weaver, Malcolm Atterbury, John McGovern, Karl Swenson, Richard Deacon, Elizabeth Wilson, Bill Quinn, Doreen Lang","2013-11-06","United States","English, Latin","2500000","54531","1 hour 59 minutes","India"
"Lost Highway","7.6","David Lynch","David Lynch, Barry Gifford","53","Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito, Jenna Maetlind, Michael Massee, Robert Blake, Henry Rollins, Michael Shamus Wiles, Mink Stole, Leonard Termo, Ivory Ocean, Jack Kehler, David Byrd, Gene Ross, Balthazar Getty, F. William Parker, Guy Siner","1997-01-15","France, United States","English","15000000","3836866","2 hours 14 minutes","France"
"Breakfast at Tiffany's","7.6","Blake Edwards","Truman Capote, George Axelrod, Maurice Griffe","77","Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, José Luis de Vilallonga, John McGiver, Dorothy Whitney, Stanley Adams, Elvia Allman, Alan Reed, Beverly Powers, Claude Stroud, Orangey, Mickey Rooney, Don Anderson, Al Avalon, Janet Banzet","1961-10-06","United States","English, Portuguese, French, Japanese","2500000","594615","1 hour 55 minutes","United States"
"Creed","7.6","Ryan Coogler","Ryan Coogler, Aaron Covington, Sylvester Stallone","82","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Andre Ward, Tony Bellew, Ritchie Coster, Jacob 'Stitch' Duran, Graham McTavish, Malik Bazille, Ricardo 'Padman' McGill, Gabe Rosado, Wood Harris, Buddy Osborn, Rupal Pujara, Brian Anthony Wilson, Joey Eye, Johanna Tolentino","2015-11-27","United States","English, Spanish","35000000","174178883","2 hours 13 minutes","India"
"Eastern Promises","7.6","David Cronenberg","Steven Knight","83","Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin, Mina E. Mina, Aleksandar Mikic, Sarah-Jeanne Labrosse, Lalita Ahmed, Badi Uzzaman, Doña Croll, Raza Jaffrey, Sinéad Cusack, Jerzy Skolimowski, Tatiana Maslany, Vincent Cassel, Shannon-Fleur Roux, Lillibet Langley, Mia Soteriou","2007-09-14","United Kingdom, Canada, United States","English, Russian, Turkish, Urdu","25000000","56107312","1 hour 40 minutes","Canada"
"Lethal Weapon","7.6","Richard Donner","Shane Black, Jeffrey Boam","68","Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, Tom Atkins, Darlene Love, Traci Wolfe, Jackie Swanson, Damon Hines, Ebonie Smith, Bill Kalmenson, Lycia Naff, Patrick Cameron, Don Gordon, Jimmie F. Skaggs, Jason Ronard, Blackie Dammett, Gail Bowman","1987-03-06","United States","English","15000000","120207127","1 hour 49 minutes","United States"
"After Hours","7.6","Martin Scorsese","Joseph Minion","89","Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong, Linda Fiorentino, Teri Garr, John Heard, Cheech Marin, Catherine O'Hara, Dick Miller, Will Patton, Robert Plunket, Bronson Pinchot, Rocco Sisto, Larry Block, Victor Argo, Murray Moston, John P. Codiglia","1985-10-11","United States","English","4500000","10629668","1 hour 37 minutes","United States"
"The Blind Side","7.6","John Lee Hancock","John Lee Hancock, Michael Lewis","53","Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head, Lily Collins, Ray McKinnon, Kim Dickens, Adriane Lenox, Kathy Bates, Catherine Dyer, Andy Stahl, Tom Nowicki, Libby Whittemore, Brian Hollan, Melody Weintraub, Sharon Conley, Omar J. Dorsey, Paul Amadi","2010-01-29","United States","English","29000000","309231694","2 hours 9 minutes","India"
"Toy Story 4","7.6","Josh Cooley","John Lasseter, Andrew Stanton, Josh Cooley","84","Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw, Christina Hendricks, Jordan Peele, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack, Bonnie Hunt, Kristen Schaal, Emily Davis, Wallace Shawn, John Ratzenberger","2019-06-21","United States","English","200000000","1073841394","1 hour 40 minutes","India"
"Lord of War","7.6","Andrew Niccol","Andrew Niccol","62","Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan, Shake Tukhmanyan, Jean-Pierre Nshanian, Jared Burke, Eric Uys, David Shumbris, Stewart Morgan, Jasper Lenz, Stephen Gregor, Kobus Marx, Stephan De Abreu, Jeremy Crutchley, Ian Holm, Tanya Finch, Lize Jooste","2019-10-01","Germany, United States, France","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","50000000","72617068","2 hours 2 minutes","India"
"Snow White and the Seven Dwarfs","7.6","William Cottrell, David Hand, Wilfred Jackson","Jacob Grimm, Wilhelm Grimm, Ted Sears","96","Adriana Caselotti, Harry Stockwell, Lucille La Verne, Roy Atwell, Stuart Buchanan, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, George Kiplunks, James MacDonald, George Magrill, Scotty Mattraw, Clarence Nash Jr., Jack Nill, Moroni Olsen, Purv Pullen","1938-02-04","United States","English","1499000","184960747","1 hour 23 minutes","United States"
"The Jungle Book","7.6","Wolfgang Reitherman","Larry Clemmons, Ralph Wright, Ken Anderson","65","Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman, George Sanders, Sterling Holloway, J. Pat O'Malley, Verna Felton, Clint Howard, Chad Stuart, Lord Tim Hudson, John Abbott, Ben Wright, Darleen Carr, Leo DeLyon, Pete Henderson, Bill Lee, James MacDonald","1967-10-18","United States","English","4000000","205843612","1 hour 18 minutes","United States"
"The Boondock Saints","7.6","Troy Duffy","Troy Duffy","44","Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco, Billy Connolly, David Ferry, Brian Mahoney, Bob Marley, Richard Fitzpatrick, William Young, Robert Pemberton, Bill Craig, Dot-Marie Jones, Scott Griffith, Layton Morrison, James Binkley, Matthew Chaffee, Robert Eaton","2000-01-21","United States, Canada","English, Spanish, Papiamento, Russian, Latin","6000000","30471","1 hour 48 minutes","Canada"
"West Side Story","7.6","Jerome Robbins, Robert Wise","Ernest Lehman, Arthur Laurents, Jerome Robbins","86","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn, Rita Moreno, Simon Oakland, Ned Glass, William Bramley, Tucker Smith, Tony Mordente, David Winters, Eliot Feld, Bert Michaels, David Bean, Robert Banas, Anthony 'Scooter' Teague, Harvey Evans, Tommy Abbott","1961-12-23","United States","English, Spanish","6000000","44134880","2 hours 33 minutes","Japan"
"The Art of Racing in the Rain","7.6","Simon Curtis","Mark Bomback, Garth Stein","43","Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro, Ian Lake, Andres Joseph, Gary Cole, Donald Heng, Peter Ciuffa, Matthew Kevin Anderson, Amanda Seyfried, Kathy Baker, Martin Donovan, Reva Dexter, Kasia Machelak, Nicole Anthony, Kacy Rink, Ryan Kiera Armstrong","2019-08-09","United States","English, Italian","18000000","33766787","1 hour 49 minutes","India"
"Serbuan Maut","7.6","Gareth Evans","Gareth Evans","73","Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah, Joe Taslim, Yayan Ruhian, Pierre Gruno, Tegar Satrya, Iyang Darmawan, Eka 'Piranha' Rahmadia, Verdi Solaiman, Alfridus Godfred, Rully Santoso, Melkias Ronald Torobi, Johanes Tuname, Sofyan Alop, R. Iman Aji, Yusuf Opilus","2012-05-11","Indonesia, France, United States","Indonesian, English","1100000","9146852","1 hour 41 minutes","India"
