"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Star Trek","7.9","J.J. Abrams","Roberto Orci, Alex Kurtzman, Gene Roddenberry","82","Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban, Zoe Saldana, John Cho, Anton Yelchin, Ben Cross, Winona Ryder, Chris Hemsworth, Jennifer Morrison, Rachel Nichols, Faran Tahir, Clifton Collins Jr., Tony Elias","2009-06-05","United States, Germany","English","150000000","385681768","2 hours 7 minutes","India"
"Children of Men","7.9","Alfonso Cuarón","Alfonso Cuarón, Timothy J. Sexton, David Arata","84","Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine, Juan Gabriel Yacuzzi, Mishal Husain, Rob Curling, Jon Chevalier, Rita Davies, Kim Fenton, Chris Gilbert, Phoebe Hawthorne, Rebecca Howard, Atalanta White, Laurence Woodbridge, Maria McErlane, Michael Haughey, Phaldut Sharma","2018-10-31","United States, United Kingdom, Japan","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian","76000000","70596471","1 hour 49 minutes","India"
"The Perks of Being a Wallflower","7.9","Stephen Chbosky","Stephen Chbosky","67","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd, Dylan McDermott, Kate Walsh, Patrick de Ledebur, Johnny Simmons, Brian Balzerini, Tom Kruszewski, Nina Dobrev, Nicholas Braun, Julia Garner, Tom Savini, Emily Marie Callaway, Chelsea Zhang, Jesse Scheirer, Justine Nicole Schaefer",\N,"United States","English","13000000","33384127","1 hour 43 minutes","India"
"Iron Man","7.9","Jon Favreau","Mark Fergus, Hawk Ostby, Art Marcum","79","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Paul Bettany, Jon Favreau, Peter Billingsley, Tim Guinee, Will Lyman, Tom Morello, Marco Khan, Dastan Khalili","2008-05-02","United States, Canada","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","140000000","585796247","2 hours 6 minutes","Canada"
"Boogie Nights","7.9","Paul Thomas Anderson","Paul Thomas Anderson","86","Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán, Rico Bueno, John C. Reilly, Nicole Ari Parker, Don Cheadle, Heather Graham, William H. Macy, Samson Barkhordarian, Nina Hartley, Brad Braeden, Joanna Gleason, Lawrence Hudd, Michael Stein, Stanley DeSantis, Patricia Forte","2020-09-02","United States","English","15000000","43117303","2 hours 35 minutes","India"
"Edge of Tomorrow","7.9","Doug Liman","Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth","71","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley, Masayoshi Haneda, Terence Maynard, Noah Taylor, Lara Pulver, Madeleine Mantock, Assly Zandry, Sebastian Blunt, Beth Goddard","2014-06-06","United States, Canada, India","English","178000000","377044245","1 hour 53 minutes","India"
"E.T. The Extra-Terrestrial","7.9","Steven Spielberg","Melissa Mathison","92","Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace, Robert MacNaughton, K.C. Martel, Sean Frye, C. Thomas Howell, Erika Eleniak, David M. O'Dell, Richard Swingler, Frank Toth, Robert Barton, Michael Darrell, David Berkson, David Carlberg, Milt Kogan, Alexander Lampone","1986-05-09","United States","English","10500000","797307407","1 hour 55 minutes","India"
"In Bruges","7.9","Martin McDonagh","Martin McDonagh","67","Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington, Rudy Blomme, Olivier Bonjour, Mark Donovan, Ann Elsley, Jean-Marc Favorin, Ralph Fiennes, Eric Godon, Zeljko Ivanek, Sachi Kimura, Anna Madeley, Louis Nummy, Clémence Poésy, Jordan Prentice, Jérémie Renier","2008-06-20","United Kingdom, United States","English","15000000","38938097","1 hour 47 minutes","India"
"Shaun of the Dead","7.9","Edgar Wright","Simon Pegg, Edgar Wright","76","Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis, Dylan Moran, Nicola Cunningham, Keir Mills, Matt Jaynes, Gavin Ferguson, Peter Serafinowicz, Horton Jupiter, Tim Baggaley, Arvind Doshi, Rafe Spall, Sonnell Dadral, Samantha Day, Trisha Goddard, David Park","2018-10-04","United Kingdom, France, United States","English","4000000","31508087","1 hour 39 minutes","India"
"Bohemian Rhapsody","7.9","Bryan Singer","Anthony McCarten, Peter Morgan","49","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers, Aaron McCusker, Meneka Das, Ace Bhatti, Priya Blackburn, Dermot Murphy, Dickie Beau, Tim Plester, Jack Roth, Max Bennett","2018-11-16","United Kingdom, United States","English, British Sign Language","52000000","910813521","2 hours 14 minutes","India"
"Edward Scissorhands","7.9","Tim Burton","Tim Burton, Caroline Thompson","74","Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Kathy Baker, Robert Oliveri, Conchata Ferrell, Caroline Aaron, Dick Anthony Williams, O-Lan Jones, Vincent Price, Alan Arkin, Susan Blommaert, Linda Perri, John Davidson, Biff Yeager, Marti Greenberg, Bryan Larkin","1992-01-01","United States","English","20000000","86024005","1 hour 45 minutes","India"
"Almost Famous","7.9","Cameron Crowe","Cameron Crowe","90","Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand, Jason Lee, Zooey Deschanel, Michael Angarano, Anna Paquin, Fairuza Balk, Noah Taylor, John Fedevich, Mark Kozelek, Philip Seymour Hoffman, Liz Stauber, Jimmy Fallon, Olivia Rosewood, Bijou Phillips, Alice Marie Crowe","2001-03-02","United States","English, French","60000000","47387566","2 hours 2 minutes","India"
"Laura","7.9","Otto Preminger, Rouben Mamoulian","Vera Caspary, Jay Dratler, Samuel Hoffenstein",\N,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price, Judith Anderson, Grant Mitchell, Dorothy Adams, Terry Adams, John Alban, Wally Albright, Bobby Barber, Edward Biby, Gary Breckner, James Carlisle, Harry Carter, Lane Chandler, Bill Chaney, Dorothy Christy",\N,"United States","English","1020000","151","1 hour 28 minutes","United States"
"Mystic River","7.9","Clint Eastwood","Brian Helgeland, Dennis Lehane","84","Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Spencer Treat Clark, Andrew Mackin, Adam Nelson, Robert Wahlberg, Jenny O'Hara, John Doman, Cameron Bowen, Jason Kelly, Connor Paolo","2019-10-30","United States, Australia","English","25000000","156595191","2 hours 18 minutes","India"
"Thor: Ragnarok","7.9","Taika Waititi","Eric Pearson, Craig Kyle, Christopher L. Yost","74","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Georgia Blizzard, Amali Golden","2017-11-03","United States","English","180000000","855301806","2 hours 10 minutes","India"
